d (mm),trans % (incident 700 mV),H-rev (on rotational mount),cam pos (mm),FWHM (us),saved as,finesse (arb unit)
0,0.178571428571429,0,0,10,DS0014,0.1
0.0409367018097853,0.128571428571429,2,,10,DS0015,0.1
0.0818830189810923,0.0742857142857143,4,12,20,DS0016,0.05
0.122848569521431,0.0728571428571429,6,13,15,DS0017,0.0666666666666667
0.163842976727926,0.0671428571428571,8,16,20,DS0018,0.05
0.194613512731768,0.0614285714285714,9.5,15,20,DS0019,0.05
0.237537674938763,0.0671428571428571,11.5903299981356,21,20,DS0020,0.05
0.365556255566501,0.0742857142857143,17.8049841526319,31,20,DS0021,0.05
0.533264427251071,0.0571428571428571,25.8840345534771,44,20,DS0022,0.05
0.546241565766075,0.0542857142857143,26.5054999689267,45,20,DS0023,0.05
0.768992540248217,0.04,37.0704120315704,62,25,DS0024,0.04
1.07868444541368,0.0257142857142857,51.3641165869119,85,45,DS0025,0.0222222222222222